config,model_type,block_size,small_block_size,threshold,batch_size,max_new_tokens,num_samples,corpus_bleu4,corpus_bleu_norm,corpus_bleu_code,avg_bleu4,avg_bleu_norm,avg_bleu_code,avg_rouge1,avg_rouge2,avg_rougeL,avg_meteor,avg_cider,avg_tokens_per_second,avg_ms_per_token,avg_tokens_per_step,avg_diffusion_steps,avg_generated_tokens
bs32_sbs32_th0.8_cacheTrue_batch1_mnt64,dLLM,32,32,0.8,1,64,1000,0.0123,0.0167,0.0171,0.0173,0.0206,0.0219,0.1256,0.0289,0.1134,0.1019,0.2082,8.85,119.822,1.5698,26.91,40.88
bs32_sbs8_th0.2_cacheTrue_batch1_mnt1024,dLLM,32,8,0.2,1,1024,1000,0.0042,0.0049,0.0053,0.0157,0.0174,0.0191,0.1181,0.0203,0.1064,0.0865,0.1752,16.42,71.808,3.0523,38.83,157.62
bs32_sbs8_th0.2_cacheTrue_batch1_mnt128,dLLM,32,8,0.2,1,128,1000,0.0083,0.0098,0.0102,0.0157,0.0175,0.0191,0.1182,0.0203,0.1066,0.0868,0.1747,15.65,68.821,2.8311,22.65,62.65
bs32_sbs8_th0.2_cacheTrue_batch1_mnt256,dLLM,32,8,0.2,1,256,1000,0.0073,0.0086,0.009,0.0157,0.0175,0.0191,0.1181,0.0203,0.1065,0.0866,0.1748,15.61,71.729,2.9302,25.56,77.79
bs32_sbs8_th0.2_cacheTrue_batch1_mnt512,dLLM,32,8,0.2,1,512,1000,0.0059,0.0069,0.0073,0.0157,0.0175,0.0191,0.1181,0.0203,0.1064,0.0866,0.1751,17.23,66.492,3.0048,29.98,104.63
bs32_sbs8_th0.2_cacheTrue_batch4_mnt1024,dLLM,32,8,0.2,4,1024,1000,0.0044,0.0051,0.0056,0.0156,0.0172,0.019,0.1169,0.0206,0.1055,0.0859,0.1746,24.4,51.461,4.7113,133.71,178.21
bs32_sbs8_th0.2_cacheTrue_batch4_mnt256,dLLM,32,8,0.2,4,256,1000,0.0071,0.0083,0.0088,0.0156,0.0172,0.019,0.117,0.0206,0.1056,0.086,0.1744,19.53,58.245,4.317,82.36,89.37
bs32_sbs8_th0.2_cacheTrue_batch4_mnt512,dLLM,32,8,0.2,4,512,1000,0.0059,0.0068,0.0074,0.0156,0.0172,0.019,0.117,0.0206,0.1056,0.0859,0.1745,23.05,51.472,4.5226,99.23,119.07
bs32_sbs8_th0.4_cacheTrue_batch1_mnt1024,dLLM,32,8,0.4,1,1024,1000,0.0094,0.0119,0.0128,0.0167,0.0191,0.0211,0.1242,0.0271,0.1113,0.0982,0.1959,11.52,95.862,2.0847,31.3,74.79
bs32_sbs8_th0.4_cacheTrue_batch1_mnt128,dLLM,32,8,0.4,1,128,1000,0.0106,0.0134,0.0143,0.0167,0.0191,0.0211,0.1242,0.0271,0.1113,0.0982,0.1959,11.9,89.653,2.0328,27.28,54.02
bs32_sbs8_th0.4_cacheTrue_batch1_mnt256,dLLM,32,8,0.4,1,256,1000,0.0104,0.0132,0.0141,0.0167,0.0191,0.0211,0.1242,0.0271,0.1113,0.0982,0.1959,11.45,94.618,2.0558,28.4,58.57
bs32_sbs8_th0.4_cacheTrue_batch1_mnt512,dLLM,32,8,0.4,1,512,1000,0.01,0.0127,0.0136,0.0167,0.0191,0.0211,0.1242,0.0271,0.1113,0.0982,0.1959,12.25,88.768,2.0715,29.59,64.71
bs32_sbs8_th0.4_cacheTrue_batch4_mnt1024,dLLM,32,8,0.4,4,1024,1000,0.0087,0.0112,0.0121,0.0167,0.0191,0.0209,0.1233,0.026,0.1106,0.0972,0.1946,15.2,77.919,2.995,108.68,89.27
bs32_sbs8_th0.4_cacheTrue_batch4_mnt256,dLLM,32,8,0.4,4,256,1000,0.0101,0.0129,0.0137,0.0167,0.0191,0.0209,0.1233,0.026,0.1106,0.0972,0.1946,13.55,83.11,2.8778,92.27,65.31
